ID,Title,Question,Answer,Chapter
752,Calcul du facteur de levier,"Calculez le """"facteur de levier"""" d'un investisseur qui utilise 300 dollars de son propre argent et 100 dollars d'argent emprunté pour investir.",400/300 = 1.33,21
753,Coefficient d'asymétrie,"Définissez le terme """"coefficient d'asymétrie et expliquez comment il peut être positif ou négatif.","Le coefficient d’asymétrie mesure l’inclinaison de la distribution vers des rendements soit positifs, soit négatifs Un coefficient d’asymétrie positif indique une tendance à obtenir des rendements supérieurs à ceux que l’on observe dans une distribution normale; à l’inverse, un coefficient d’asymétrie négatif indique une tendance à obtenir des rendements inférieurs à ceux que l’on observe dans la distribution normale.",21
754,Mesure de volatilité,Quelles sont les trois mesures du risque qui se concentrent uniquement sur la volatilité à la baisse ?,"Recul, Recul maximal, Période de récupération",21
755,Caractéristiques des fonds distincts,Quelles sont les principales caractéristiques des fonds distincts?,"Les fonds distincts sont des produits d'assurance avec garantie à l'échéance, prestation de décès, et insaisissabilité, gérés par des compagnies d'assurances.",22
756,Fonds distincts vs fonds communs de placement,En quoi les fonds distincts se distinguent-ils des fonds communs de placement?,"Contrairement aux fonds communs, ils offrent des garanties sur le capital et sont régis par les lois provinciales d'assurance.",22
757,Organismes réglementant les fonds distincts,Quels organismes réglementent les fonds distincts au Canada?,"L’Association canadienne des compagnies d’assurances de personnes inc., le Bureau du surintendant des institutions financières Canada, et Assuris.",22
758,Fonction d'Assuris,Quelle est la fonction de l’organisme Assuris?,Assuris protège les prestations de décès et les garanties à l’échéance dans les contrats de fonds distincts en cas de défaillance d’une société d’assurance.,22
759,Garantie à l'échéance,Qu'est-ce qu'une garantie à l'échéance pour un fonds distinct?,"Une promesse que le titulaire ou le bénéficiaire recevra au moins 75 % du capital investi à l'échéance, souvent augmentée à 100 % dans certains contrats.",22
760,Avantages de l'insaisissabilité,Quels sont les avantages de l’insaisissabilité pour un fonds distinct?,"En cas de faillite, le produit est protégé des créanciers puisque l'actif est détenu par la compagnie d’assurance.",22
761,Renouvellement des garanties,Comment le renouvellement des garanties peut-il protéger le capital du client?,"Le renouvellement de la garantie permet de bloquer la valeur marchande en période de hausse, assurant le capital lors de baisses de marché.",22
762,Désignation de bénéficiaire,Pourquoi la désignation de bénéficiaire est-elle importante dans un fonds distinct?,"Elle permet de transmettre directement le produit au bénéficiaire, évitant ainsi la procédure d’homologation.",22
763,Désignation révocable vs irrévocable,Quelle différence existe entre une désignation de bénéficiaire révocable et irrévocable?,"La désignation irrévocable ne peut être modifiée sans le consentement du bénéficiaire, contrairement à la désignation révocable.",22
764,Avantages fiscaux des fonds distincts,Quels sont les principaux avantages fiscaux des fonds distincts?,"Les gains et pertes en capital peuvent être transférés aux titulaires de contrats, et les prestations de décès sont versées sans impôt.",22
765,Répartition des revenus,Comment fonctionne la répartition des revenus pour les fonds distincts?,Le revenu net est attribué aux titulaires de contrats en fonction du nombre de parts détenues et de la durée de détention dans l'année civile.,22
766,Société à capital de risque de travailleurs (SCRT),Qu’est-ce qu’une société à capital de risque de travailleurs (SCRT)?,Une société d’investissement soutenant les PME et donnant droit à des crédits d’impôt pour les investisseurs.,22
767,Avantages fiscaux de la SCRT,Quels sont les avantages fiscaux d’investir dans une SCRT?,Les crédits d’impôt fédéraux et provinciaux permettent une réduction importante du coût net de l’investissement.,22
768,Restrictions de détention des titres SCRT,Quelles sont les restrictions de détention pour les titres d'une SCRT?,"Les titres doivent être détenus pendant huit ans pour conserver les crédits d’impôt, sous peine de remboursement des crédits.",22
769,Placements à risque élevé,Pourquoi les SCRT sont-elles considérées comme des placements à risque élevé?,"Elles investissent dans des entreprises émergentes ou à faible capitalisation, avec un taux d’échec élevé.",22
770,Société d'investissement à capital fixe (SICF),Qu’est-ce qu’une société d’investissement à capital fixe (SICF)?,Un fonds qui émet un nombre fixe d'actions inscrites en bourse et non rachetables directement par la société.,22
771,Négociation des parts de SICF,Comment les parts d'une SICF se négocient-elles par rapport à la valeur de ses actifs?,"Elles peuvent se négocier à un escompte, au pair, ou avec une prime par rapport à la valeur liquidative de l’actif sous-jacent.",22
772,Actifs des SICF,Quels actifs peuvent constituer une SICF?,"Des actions privilégiées, un panier diversifié d'actions ou un portefeuille de titres de revenu, incluant des fiducies immobilières et commerciales.",22
773,Avantages des SICF pour stratégies alternatives,Quels sont les avantages d'une SICF pour les stratégies de placement alternatif?,"Les SICF ne sont pas soumises aux rachats fréquents, permettant des investissements à long terme dans des actifs non liquides.",22
774,Fonds à capital fixe et stratégies à long terme,Pourquoi les fonds à capital fixe sont-ils avantageux pour les stratégies à long terme?,Les gestionnaires peuvent se concentrer sur des stratégies à long terme sans avoir à conserver de liquidités pour des rachats.,22
775,Risques associés aux SICF,Quels risques sont associés aux SICF?,Les parts peuvent se négocier en dessous de leur valeur intrinsèque et sont moins liquides que les parts des fonds communs de placement.,22
776,Fiducie de revenu,Qu’est-ce qu’une fiducie de revenu et quels sont ses deux principaux types?,Une fiducie de revenu détient des actifs productifs de revenus; les deux types principaux sont les fiducies de placement immobilier (FPI) et les fiducies commerciales.,22
777,Risques des FPI,Quels risques sont associés aux FPI?,"Les fluctuations des taux d'intérêt, la qualité des biens immobiliers, le marché locatif et les coûts de financement sont des risques importants.",22
778,Protection contre l'inflation des FPI,Comment les FPI peuvent-elles offrir une protection contre l'inflation?,"En période d’inflation, la valeur des biens immobiliers et des loyers peut augmenter, stabilisant le rendement des investisseurs.",22
779,Volatilité des fiducies commerciales,Pourquoi les fiducies commerciales peuvent-elles être moins volatiles que le marché boursier?,"Elles investissent dans des actifs produisant des revenus stables et réguliers, souvent peu sensibles aux cycles économiques.",22
780,Sociétés des fiducies commerciales,Quels types de sociétés constituent généralement les fiducies commerciales?,"Des entreprises stables dans des secteurs comme les services publics, la transformation industrielle, et la logistique.",22
781,Différence fiscale entre FPI et fiducie commerciale,Quelle est la différence fiscale entre une FPI canadienne et une fiducie commerciale?,"Une FPI peut distribuer ses revenus directement aux investisseurs, qui paient l’impôt, alors que les fiducies commerciales sont taxées comme des sociétés.",22
782,Société cotée de capital-investissement,Qu’est-ce qu’une société cotée de capital-investissement?,"Une société de placement inscrite en bourse, investissant dans diverses entreprises, souvent dans des secteurs de croissance ou de capital-investissement.",22
783,Avantages des sociétés cotées de capital-investissement,Quels avantages offre une société cotée de capital-investissement par rapport aux placements privés?,"Liquidité, transparence, et accès au capital public pour des investissements diversifiés.",22
784,Inconvénients des sociétés cotées de capital-investissement,Quels sont les principaux inconvénients des sociétés cotées de capital-investissement?,"Faible liquidité et dépendance aux gestionnaires clés pour les décisions stratégiques, augmentant les risques pour les investisseurs.",22
785,Responsabilités du BSIF,"En matière d'assurance,  quelles sont les responsabilités du BSIF ?",Veiller à ce que les compagnies d’assurance soient suffisamment capitalisées (fédérale).,22
786,Protection Assuris,"En ce qui concerne les fonds distincts, en cas d'insolvabilité d'un assureur,  quelle protection Assuris offre-t-elle aux titulaires de contrats ?",Assure le versement des sommes garanties (garanties à l’échéance et prestation de décès). Le plus grand de 100 % du montant jusqu’à 60k ou 85 % du montant.,22
787,Document d'information des fonds distincts,Quel est le principal document d'information destiné à l'investisseur d'un fonds distinct ?,Notice d’information (comparé à l'aperçu de fonds pour les FCP).,22
788,Fonds à capital fixe vs capital variable,Pourquoi un fonds à capital fixe peut-il placer une plus grande partie de ses actifs sur le marché qu'un fonds à capital variable ?,Car il n’a pas à réserver des fonds pour les rachats.,22
789,Titulaire du contrat et rentier,Quand est-il permis que le titulaire du contrat et le rentier d'un fonds distinct soient des personnes différentes ?,Lorsque le fonds est détenu à l’extérieur d’un REER.,22
790,Caractéristiques des produits structurés,Quelles sont les principales caractéristiques des produits structurés?,"Les produits structurés offrent des options de rendement, protection du capital, et efficience fiscale en utilisant divers sous-jacents comme les indices, marchandises, ou paniers d'actions.",23
791,Avantages des produits structurés,Quels sont les avantages des produits structurés par rapport aux placements traditionnels?,"Diversification, gestion professionnelle, économies d'échelle, et possibilité d’un rendement ajusté en fonction du risque.",23
792,Billet à capital protégé (BCP),Qu'est-ce qu'un billet à capital protégé (BCP)?,"Un BCP est un titre d'emprunt qui garantit le remboursement du capital à l’échéance, son rendement étant lié à un indice ou à un panier d'actions.",23
793,Sous-jacents des produits structurés,Quels types de sous-jacents peuvent être utilisés pour structurer un produit?,"Prêts hypothécaires, créances sur cartes de crédit, prêts automobiles, indices boursiers, et prêts sur la valeur nette immobilière.",23
794,Produits structurés émis par des banques,Pourquoi les produits structurés sont-ils souvent émis par des banques?,Les banques disposent de l'expertise et des ressources nécessaires pour regrouper et gérer les actifs sous-jacents que les particuliers ne pourraient pas obtenir seuls.,23
795,CPG liés au marché vs classiques,Comment les certificats de placement garanti (CPG) liés au marché diffèrent-ils des CPG classiques?,"Les CPG liés au marché offrent un rendement basé sur un indice ou un fonds, combinant sécurité du capital et potentiel de croissance du marché.",23
796,Types de produits structurés,Quels sont les principaux types de produits structurés?,"Billets à capital protégé, certificats de placement garanti liés au marché, actions scindées, titres hypothécaires, et titres adossés à des créances.",23
797,Risques des produits structurés,Quels sont les risques associés aux produits structurés?,"Risque de liquidité, risque de remboursement anticipé, risque de crédit, et risque de change.",23
798,Actions scindées,En quoi consistent les actions scindées?,"Les actions scindées fractionnent les rendements d’un portefeuille entre des actions privilégiées, axées sur les dividendes, et des actions de plus-value, axées sur la plus-value.",23
799,Rôle de la SCHL,Quel est le rôle de la Société canadienne d’hypothèques et de logement (SCHL) pour les titres hypothécaires?,Elle garantit les paiements de capital et d’intérêt des titres hypothécaires adossés à des biens résidentiels.,23
800,Titrisation des produits structurés,Qu'est-ce que la titrisation dans le contexte des produits structurés?,"La titrisation est le processus de regroupement d'actifs financiers pour les transformer en titres négociables, répartissant le risque.",23
801,Rendements d'un BCP,Quels types de rendements un BCP peut-il offrir?,"Rendements liés à la performance d’un indice, souvent avec des taux de participation ou des plafonds limitant l'exposition.",23
802,Dividendes exclus des BCP,Pourquoi certains BCP excluent-ils les dividendes dans le calcul des rendements?,"Le rendement d’un BCP est souvent basé uniquement sur les variations de prix de l’indice, sans inclure les dividendes.",23
803,Titres adossés à des créances (TAC),Qu'est-ce qu'un titre adossé à des créances (TAC)?,C'est un instrument qui donne aux investisseurs des droits sur les flux d’intérêts et de capital générés par un portefeuille de créances.,23
804,Risques des titres hypothécaires,Quels sont les risques des titres hypothécaires?,"Risques de taux d’intérêt, de crédit, et de remboursement anticipé.",23
805,Risque de refinancement (PCAC),Qu'est-ce que le risque de refinancement associé au papier commercial adossé à des créances (PCAC)?,Le risque de ne pas pouvoir renouveler le financement des actifs sous-jacents à l’échéance.,23
806,Popularité des produits structurés en période de volatilité,Pourquoi les produits structurés sont-ils populaires en période de volatilité?,Ils offrent la protection du capital et un potentiel de rendement en dépit de la volatilité du marché.,23
807,Taux de participation d'un BCP,Qu'est-ce qu'un taux de participation dans le contexte d'un BCP?,"C'est un pourcentage du rendement de l'indice que l'investisseur peut obtenir, limité par le taux de participation fixé.",23
808,Distribution des actions scindées,Comment les actions scindées répartissent-elles les dividendes et la plus-value?,"Les actions privilégiées reçoivent les dividendes, tandis que les actions de plus-value bénéficient des gains en capital.",23
809,Avantages fiscaux des CPG liés au marché,Quels sont les avantages fiscaux des CPG liés au marché?,"Les rendements peuvent être plus avantageux dans des régimes enregistrés, car ils sont imposés comme revenus d'intérêts.",23
810,Investisseurs des titres adossés à des créances,Quels investisseurs sont les principaux acheteurs de titres adossés à des créances?,"Grandes institutions financières, régimes de retraite, fonds communs de placement, et fonds de couverture.",23
811,But de la titrisation,Qu'est-ce que le processus de titrisation vise à accomplir pour les institutions financières?,Réduire les besoins de réserves en transférant le risque de crédit à d’autres investisseurs.,23
812,Pourquoi un PCAC peut échouer,Pourquoi un PCAC peut-il échouer à refinancer ses créances?,"En raison d'une conjoncture de marché défavorable, rendant le renouvellement du financement difficile.",23
813,Titres hypothécaires sans transformation des flux,Quelles sont les caractéristiques des titres hypothécaires sans transformation des flux?,Ils représentent une participation dans les flux d’intérêts et de capital d’un portefeuille hypothécaire.,23
814,Avantages des titres hypothécaires assurés par la SCHL,Quels sont les avantages des titres hypothécaires assurés par la SCHL?,"Sécurité élevée, liquidité, et rendement supérieur aux obligations du gouvernement canadien.",23
815,Volatilité des actions scindées,Pourquoi les actions scindées peuvent-elles être plus volatiles que les actions ordinaires?,En raison de l’effet de levier inhérent et de la structure d’investissement concentrée.,23
816,Facteurs de rendement des CPG liés au marché,Quels facteurs de rendement influencent les CPG liés au marché?,"Valeur initiale et finale de l’indice, taux de participation, et éventuel taux plafond.",23
817,Inconvénients des produits structurés,Quels sont les principaux inconvénients des produits structurés?,"Frais élevés, complexité, et manque de liquidité sur le marché secondaire.",23
818,Tranches de TAC,En quoi les tranches de TAC offrent-elles des options pour les différents profils d’investisseurs?,"Chaque tranche a un niveau de risque et de rendement unique, permettant aux investisseurs de choisir selon leur tolérance au risque.",23
819,Complexité des produits structurés,Pourquoi les produits structurés nécessitent-ils une bonne compréhension de la part des investisseurs?,Leur complexité et leurs risques spécifiques exigent une analyse approfondie pour comprendre le rendement et les risques.,23
820,Billet à capital protégé fiscalité,"Si un billet à capital protégé est détenu jusqu'à l'échéance, comment la différence entre le prix d'achat et le prix de vente est-elle traitée fiscalement?",Revenu d’intérêt.,23
821,Risque de réinvestissement,"Qu'entend-on par risque de réinvestissement""?""",Le risque de réinvestissement est le risque qu'un investisseur ne puisse pas réinvestir les flux de trésorerie reçus (comme les intérêts ou les coupons d'une obligation) à un taux de rendement équivalent ou supérieur à celui de l'investissement initial.,23
822,CPG indexé sur actions fiscalité,Comment les revenus d'un CPG indexé sur actions sont-ils imposés?,Comme des revenus d’intérêts.,23
823,Garantie de rendement des BCP,"Avec un BCP, le rendement de l'investisseur est-il garanti?",Parfois un rendement minimal est garanti mais faible.,23
824,Impact des taux d'intérêt sur TAC,"Si les taux d'intérêt augmentent, quel sera l'impact sur la valeur de marché d'un titre adossé à des créances hypothécaires?",Réduction de la valeur.,23
825,Nombre d'actions dans un BCP,"En règle générale, combien d'actions différentes composent un BCP lié à un panier d'actions?",10 ou 15 actions.,23
826,Tranches typiques d'un portefeuille de référence,Quelles sont les trois tranches les plus typiques d'un portefeuille de référence?,"Tranche prioritaire (senior), Mezzanine, Dernier rang (junior).",23
827,Catégories de revenus en fiscalité canadienne,Quelles sont les quatre principales catégories de revenus en fiscalité canadienne?,"Revenu d’emploi, revenu d’entreprise, revenu de placements et gains en capital.",24
828,Traitement fiscal du revenu d'intérêts,Comment est traité fiscalement le revenu d’intérêts au Canada?,Il est imposé au taux marginal de l'épargnant et doit être déclaré dès qu'il est gagné.,24
829,Crédit d'impôt pour dividendes canadiens,Pourquoi les dividendes canadiens bénéficient-ils d'un crédit d'impôt?,"Pour compenser l'impôt déjà payé par les sociétés, les rendant plus avantageux que le revenu d'intérêts.",24
830,Dividendes admissibles vs non-admissibles,Quelle est la différence entre un dividende canadien admissible et un non-admissible?,Les dividendes admissibles sont versés par des sociétés cotées et bénéficient d'un crédit d’impôt plus élevé.,24
831,Gain en capital,Qu'est-ce qu'un gain en capital?,C'est le profit réalisé lors de la vente d'un bien à un prix supérieur à son coût d'acquisition.,24
832,Taux d'imposition des gains en capital,À quel taux sont imposés les gains en capital au Canada?,Seuls 50 % des gains en capital sont imposables.,24
833,Pertes en capital,Pourquoi les pertes en capital ne peuvent-elles être appliquées que contre des gains en capital?,La législation fiscale stipule que les pertes en capital ne peuvent compenser que des gains de même nature.,24
834,Perte apparente,Qu’est-ce qu’une perte apparente?,"Une perte sur titres revendus dans les 30 jours, réinvestis et toujours détenus après 30 jours.",24
835,Crédits d'impôt,Quels crédits d’impôt peuvent réduire l’impôt net à payer?,"Crédits pour dividendes, frais financiers, et crédits provinciaux.",24
836,Prix de base rajusté (PBR),Quelle est l'importance du prix de base rajusté (PBR)?,Il sert de coût d'achat d'un actif pour calculer les gains en capital lors de la vente.,24
837,Cotisation en nature à un REER,Qu'est-ce qu'une cotisation en nature à un REER?,"Transfert de titres détenus directement dans un REER, entraînant un calcul de gain ou de perte.",24
838,Dépenses déductibles du revenu de placement,Quelles dépenses peuvent être déduites du revenu de placement?,"Intérêts sur emprunts pour placements, frais de gestion, et certains conseils en placement.",24
839,Régimes de pension agréés au Canada,Quels sont les types de régimes de pension agréés au Canada?,Régimes à cotisations déterminées (CD) et à prestations déterminées (PD).,24
840,Report des droits de cotisation REER,Pourquoi un particulier peut-il reporter ses droits de cotisation REER inutilisés?,Pour cotiser au-delà de la limite annuelle dans les années futures.,24
841,REER autogéré,Qu'est-ce qu'un régime enregistré d’épargne-retraite (REER) autogéré?,Un REER où le titulaire prend des décisions d'investissement et peut détenir divers actifs admissibles.,24
842,Placements admissibles dans un REER,Quels placements sont admissibles dans un REER?,"CPG, actions canadiennes cotées, titres de créance garantis et fonds communs de placement.",24
843,REER au nom du conjoint,Pourquoi un particulier choisirait-il un REER au nom du conjoint?,Pour répartir le revenu de retraite et réduire le fardeau fiscal.,24
844,Retrait anticipé d'un REER,Quelles sont les conséquences fiscales d’un retrait anticipé d’un REER?,Le montant est imposé au taux marginal et peut entraîner une retenue à la source.,24
845,Crédits d'impôt pour dividendes,Comment les crédits d’impôt pour dividendes sont-ils calculés?,En appliquant un pourcentage au montant majoré des dividendes canadiens admissibles.,24
846,Pénalité pour cotisation excédentaire REER,Pourquoi un épargnant peut-il subir une pénalité pour cotisation excédentaire à un REER?,Toute cotisation dépassant 2 000 $ au-delà de la limite autorisée est sujette à une pénalité de 1 % par mois.,24
847,Facteur d'équivalence REER,Qu'est-ce que le facteur d'équivalence pour les REER?,Montant réduisant la cotisation REER selon les droits acquis dans un régime de pension.,24
848,Traitement fiscal des dividendes étrangers,Quel est le traitement fiscal d’un revenu de dividendes d'une société étrangère?,"Il est imposé comme un revenu d’intérêts, sans crédit d’impôt pour dividendes.",24
849,Retenue d'impôt pour retrait de REER au Québec,Quelle est la retenue d’impôt pour un retrait de REER au Québec?,"20 % pour les montants jusqu’à 5 000 $, 25 % entre 5 001 $ et 15 000 $, et 30 % au-delà de 15 000 $.",24
850,Stratégies de réduction du revenu imposable,Quelles stratégies permettent de réduire le revenu de placement imposable?,Choisir des titres versant des dividendes canadiens et privilégier les gains en capital.,24
851,Définition d'un spéculateur selon l'ARC,Comment l’ARC définit-elle un spéculateur?,"Par des transactions fréquentes, un roulement rapide de titres, et des connaissances spécifiques du marché.",24
852,Stratégie de vente à perte à des fins fiscales,Pourquoi un investisseur peut-il vouloir utiliser la stratégie de vente à perte à des fins fiscales?,Pour réduire les gains en capital et donc l'impôt à payer.,24
853,REER géré,Qu'est-ce qu'un REER géré?,"Un REER investi dans des fonds communs ou certificats de placement garanti, géré par une institution.",24
854,Taux préférentiel des gains en capital,Pourquoi les gains en capital sont-ils imposés à un taux préférentiel par rapport aux intérêts?,"Les gains en capital bénéficient d'une réduction de 50 % en imposition, incitant à l'investissement.",24
855,Disposition présumée,Qu’est-ce qu’une disposition présumée?,La vente fictive d'un bien pour calculer les gains en capital en cas de changement de statut fiscal.,24
856,Pénalité sur les cotisations excédentaires REER,Pourquoi l’ARC impose-t-elle une pénalité sur les cotisations excédentaires à un REER?,Pour limiter l'abus des avantages fiscaux des régimes enregistrés.,24
857,Perte apparente à des fins fiscales,Une perte apparente peut-elle être considérée comme une perte à des fins fiscales?,Non.,24
858,Types de régimes de pension agréés,Quels sont les deux principaux types de régimes de pension agréés?,Régimes à cotisation déterminées et prestations déterminées.,24
859,Impact des cotisations à un régime de retraite sur le REER,Les cotisations à un régime de retraite augmentent-elles ou diminuent-elles ce qu'un particulier pourrait autrement cotiser à un REER?,Diminue.,24
860,Conséquences fiscales d'une cotisation en nature,"Dans le cas d'une cotisation en nature, si la valeur marchande est supérieure au prix de base rajusté, y a-t-il des conséquences fiscales? Et si la valeur marchande est inférieure au PBR?",Disposition présumée. Gain en capital = imposable. Perte en capital = pas déductible.,24
861,Montant maximum de retrait d'un FERR,Quel est le montant maximum qui peut être retiré d'un FERR?,"Pas de max. Minimum prescrit 1/(90-age) avant 71 ans, 71 ans 5.28%, 95 ans 20%.",24
862,Imposition des versements de rente d'un REER,"Si un investisseur détient une rente dans le cadre d'un REER, les versements de rente sont-ils imposables?","Si la rente est souscrite au moyen d’un REER, les versements entiers sont imposables. Sinon c’est juste la portion intérêt.",24
863,Déduction des intérêts sur emprunt pour cotisation REER,Un investisseur a emprunté sur sa marge de crédit personnelle pour cotiser à un REER. Peut-il déduire fiscalement les intérêts payés sur le prêt?,Non.,24
864,Âge minimum pour ouvrir un CELI,Quel est l'âge minimum requis pour ouvrir un CELI?,18 ans.,24
865,Facteur d'équivalence pour services passés,Qu'est-ce qu'un facteur d'équivalence pour services passés?,"Suite à une modification du régime de retraite de la part de l’employeur, cotisation au fonds de pension additionnelle de l’employeur. Réduit le montant déductible pour cotisation REER.",24
866,Revenu de placement et calcul des droits de cotisation REER,Le revenu de placement est-il inclus dans le revenu gagné lors du calcul des droits de cotisation d'un particulier à un REER?,Non.,24
867,Liquidation obligatoire d'un REER,Quand la liquidation d'un REER est-elle obligatoire?,Dans l’année de ses 71 ans: retirer le produit qui est entièrement imposable l’année où il est reçu; utiliser le produit pour acheter une rente viagère; utiliser le produit pour acheter une rente à terme fixe procurant des prestations jusqu’à un âge déterminé; utiliser le produit pour acheter un FERR qui fournit un revenu annuel.,24
868,Retrait du revenu généré par un REEE,Quand est-ce qu’un cotisant peut recevoir le revenu généré par un REEE?,Quand l’une des 2 conditions suivantes est remplie: Le régime existe depuis au moins dix ans et aucun des bénéficiaires désignés n’a commencé un programme d’études postsecondaires admissible avant d’avoir atteint l’âge de 21 ans; Tous les bénéficiaires désignés sont décédés.,24
869,Compte à honoraires,Qu'est-ce qu'un compte à honoraires et pourquoi est-il de plus en plus populaire auprès des clients à valeur nette élevée?,"Un compte à honoraires est un type de compte où les honoraires sont basés sur les actifs sous gestion plutôt que sur des commissions, offrant des services étendus et transparents.",25
870,Avantages d'un compte à honoraires,Quels sont les principaux avantages d'un compte à honoraires?,"Accès à des services de gestion de patrimoine, transparence des frais, réduction des conflits d'intérêts, et alignement des objectifs entre le client et le conseiller.",25
871,Inconvénients potentiels d'un compte à honoraires,Quels sont les inconvénients potentiels d'un compte à honoraires pour certains investisseurs?,"Coût potentiellement plus élevé, restriction sur le nombre d'opérations, et possibilité de négligence si le conseiller reçoit des honoraires sans performance liée.",25
872,Compte géré vs sans mandat de gestion,Quelle est la différence entre un compte géré à honoraires et un compte sans mandat de gestion?,"Un compte géré donne au conseiller l'autorité de prendre des décisions d'investissement, tandis qu’un compte sans mandat exige l'approbation du client pour chaque transaction.",25
873,Caractéristiques d'un compte géré,Quelles sont les caractéristiques clés d’un compte géré?,"Gestion professionnelle, transparence, rapport détaillé des avoirs et transactions, et services de rééquilibrage et de soutien.",25
874,Importance de l'énoncé de politique de placement,Pourquoi un énoncé de politique de placement est-il important dans un compte géré?,"Il définit clairement les objectifs de gestion des avoirs, les stratégies et toute considération particulière pour le client.",25
875,Avantages fiscaux d'un compte géré,Quels avantages fiscaux un compte géré peut-il offrir?,Les honoraires de gestion peuvent être déductibles d'impôt dans les comptes non enregistrés.,25
876,Compte intégré de FNB,Qu'est-ce qu'un compte intégré de FNB et quels sont ses avantages?,"Un compte qui utilise des FNB pour la diversification avec une gestion de répartition d'actifs par le conseiller, offrant une couverture des devises et une gestion professionnelle à bas coût.",25
877,Gestion active dans un compte intégré de FNB,Comment fonctionne la gestion active dans un compte intégré de FNB?,Le gestionnaire ajuste la répartition des actifs en fonction des conditions du marché pour optimiser la performance.,25
878,Compte-conseil,Qu'est-ce qu'un compte-conseil et en quoi diffère-t-il des autres comptes gérés?,"C’est un compte où le conseiller prend les décisions d’investissement, souvent en fonction d'un modèle de portefeuille spécifique à ses compétences.",25
879,Avantages d’un compte multigestionnaires,Quels sont les avantages d’un compte multigestionnaires?,"Accès à plusieurs gestionnaires professionnels, coordination de la gestion des actifs, et surveillance continue par un gestionnaire-superviseur.",25
880,Rôle du gestionnaire-superviseur,En quoi le rôle de gestionnaire-superviseur est-il essentiel dans un compte géré à plusieurs mandats?,"Il évalue et supervise les gestionnaires, coordonne les placements et ajuste la stratégie en fonction des besoins du client.",25
881,Compte des ménages,Pourquoi le compte des ménages est-il considéré comme une option avantageuse pour les familles?,"Il coordonne les actifs de tous les membres de la famille, optimisant ainsi la gestion fiscale et patrimoniale.",25
882,Société de gestion des affaires familiales,Qu'est-ce qu'une société de gestion des affaires familiales et quels services offre-t-elle?,"Un service complet pour clients fortunés, couvrant les placements, la planification successorale, la philanthropie, et la fiscalité.",25
883,Avantages d'une société de gestion des affaires familiales,Quels sont les principaux avantages d'une société de gestion des affaires familiales?,"Coordination complète des besoins financiers du client avec une équipe dédiée et spécialisée, souvent dans un bureau centralisé.",25
884,Surveillance des comptes gérés,Comment la surveillance des comptes gérés par les organismes de réglementation est-elle assurée?,Les comptes gérés sont examinés régulièrement pour s'assurer qu'ils respectent les objectifs du client et la conformité aux règlements.,25
885,Compte carte blanche,Pourquoi un compte carte blanche est-il souvent temporaire?,"Il est utilisé pour des situations spécifiques comme la maladie ou un séjour à l’étranger, avec une limite de 12 mois.",25
886,Rôle du courtier membre,Quelles sont les responsabilités du courtier membre dans la gestion des comptes gérés?,"Approuver les comptes gérés, veiller à la répartition équitable des opportunités, et effectuer des examens trimestriels.",25
887,Compte de courtage de plein exercice,Qu'est-ce qu'un compte de courtage de plein exercice et comment les honoraires sont-ils établis?,Un compte offrant des services de planification financière avec un taux d'honoraires basé sur les actifs sous gestion.,25
888,Services d'un compte de courtage autogéré,Quels types de services sont inclus dans un compte de courtage autogéré?,"Des outils de répartition d'actifs, des recommandations et alertes de placement, mais sans conseils de planification financière.",25
889,Conseils directs vs comptes de courtage traditionnels,Comment les conseils directs diffèrent-ils des comptes de courtage traditionnels?,"Ils offrent une gestion de portefeuille autonome avec des outils de répartition d'actifs, mais moins de services que les comptes de plein exercice.",25
890,Robot-conseiller,Qu’est-ce qu’un robot-conseiller et quels sont ses avantages pour les jeunes investisseurs?,"Un service en ligne utilisant des FNB pour créer des portefeuilles, offrant une gestion automatisée et accessible.",25
891,Inconvénients des robot-conseillers,Quels sont les inconvénients potentiels d’un robot-conseiller pour les investisseurs à valeur nette élevée?,Limite les services de planification financière personnalisée et peut manquer de soutien local.,25
892,Limitation du nombre d'opérations dans certains comptes à honoraires,Pourquoi le nombre d'opérations est-il souvent limité dans certains comptes à honoraires?,Pour contrôler les coûts et éviter des frais excessifs liés à un grand volume de transactions.,25
893,Vente à perte à des fins fiscales dans un compte-conseil,Qu'est-ce que la vente à perte à des fins fiscales et comment est-elle utilisée dans un compte-conseil?,"Une stratégie pour enregistrer une perte en capital et compenser des gains, permettant une optimisation fiscale pour le client.",25
894,Avantages des comptes gérés séparément (CGS),Quels sont les principaux avantages des comptes gérés séparément (CGS)?,"Accès à des gestionnaires externes, flexibilité pour exclure des titres, et rapports détaillés sur la performance de chaque compte.",25
895,Adaptation des comptes gérés séparément,Comment les comptes gérés séparément peuvent-ils être adaptés aux besoins uniques des clients?,"En permettant l'exclusion de secteurs ou titres spécifiques selon les préférences du client, incluant des considérations éthiques.",25
896,Utilité des comptes gérés séparément pour éviter les ventes forcées,Pourquoi les comptes gérés séparément sont-ils utiles pour les clients qui veulent éviter les ventes forcées?,Ils permettent aux clients de conserver leurs titres indépendamment des décisions des autres investisseurs.,25
897,Valeur ajoutée du gestionnaire-superviseur dans un compte géré à plusieurs mandats,Comment le gestionnaire-superviseur ajoute-t-il de la valeur dans un compte géré à plusieurs mandats?,"En coordonnant les sous-conseillers, en surveillant les allocations et en s’assurant que les objectifs du client sont respectés.",25
